21.02.2001;55,25;19,06
22.02.2001;56,31;18,62
23.02.2001;54,44;19,06
26.02.2001;57,63;19,28
27.02.2001;59,38;19,37
28.02.2001;59,56;17,81
01.03.2001;58,56;18,31
02.03.2001;57,5;19,37
05.03.2001;57,25;20,72
06.03.2001;58,63;21,31
07.03.2001;59,88;20,69
08.03.2001;60,31;20,62
09.03.2001;57,94;19,69
12.03.2001;54,69;18,87
13.03.2001;52,19;18,5
14.03.2001;52,5;20,87
15.03.2001;55,31;19
16.03.2001;52,5;19,75
19.03.2001;54,5;20,72
20.03.2001;54,56;19,78
21.03.2001;52,25;20,37
22.03.2001;50,56;22,06
23.03.2001;54,94;23,13
26.03.2001;57,13;21,94
27.03.2001;56,06;22,08
28.03.2001;57,38;21,77
29.03.2001;55,38;22,55
30.03.2001;55,75;22,09
02.04.2001;54,81;21,36
03.04.2001;55,31;19,76
04.04.2001;53,38;20,6
05.04.2001;53,75;20,8
06.04.2001;56,38;20,69
09.04.2001;56,57;20,9
10.04.2001;57,95;22,98
11.04.2001;60,65;21,42
12.04.2001;59,56;22,09
16.04.2001;61,4;21,2
17.04.2001;60,52;21,57
18.04.2001;63,39;25,55
19.04.2001;65,81;24,93
20.04.2001;70,3;24,34
23.04.2001;68,11;24,33
24.04.2001;68,2;24,21
25.04.2001;67,57;25,17
26.04.2001;70,07;25,2
27.04.2001;69,53;26,7
30.04.2001;68,53;25,41
01.05.2001;67,66;26,34
02.05.2001;71;25,97
03.05.2001;69,25;24,24
04.05.2001;68;25,62
07.05.2001;70,83;25,35
08.05.2001;71,75;24,14
09.05.2001;71,24;24,21
10.05.2001;71,13;23,01
11.05.2001;69,96;22,89
14.05.2001;69,13;23,37
15.05.2001;68,74;23,26
16.05.2001;67,7;24,23
17.05.2001;69,1;23,36
18.05.2001;67,69;23,63
21.05.2001;68,05;24
22.05.2001;69,45;23,75
23.05.2001;70,39;23,29
24.05.2001;69,94;23,2
25.05.2001;71,66;22,32
29.05.2001;70,8;20,76
30.05.2001;69,56;19,8
31.05.2001;69,49;20,13
01.06.2001;69,6;21,08
04.06.2001;70,55;20,8
05.06.2001;70,76;20,93
06.06.2001;72,89;20,71
07.06.2001;72,12;21,65
08.06.2001;73,7;21,05
11.06.2001;72,85;19,77
12.06.2001;71,02;21,42
13.06.2001;72,05;20,04
14.06.2001;70,22;20,1
15.06.2001;67,51;20,41
18.06.2001;67,95;20,85
19.06.2001;68,21;20
20.06.2001;67,14;21,55
21.06.2001;69,15;22,48
22.06.2001;70;22,5
25.06.2001;69,1;23,34
26.06.2001;67,82;23,83
27.06.2001;69,86;23,05
28.06.2001;71,55;23,66
29.06.2001;72,6;23,64
02.07.2001;72,05;23,51
03.07.2001;70,3;23,6
05.07.2001;70,22;22,76
06.07.2001;68,3;22,09
09.07.2001;66,2;22,95
10.07.2001;65,9;21,03
11.07.2001;64,21;23,3
12.07.2001;70,7;24,13
13.07.2001;71,4;24,88
16.07.2001;71,45;23,98
17.07.2001;70,66;21,78
18.07.2001;70,6;21,23
19.07.2001;71,22;19,7
20.07.2001;68,03;20,09
23.07.2001;69,24;19,39
24.07.2001;67;19,12
25.07.2001;66,26;18,48
26.07.2001;67,12;18,75
27.07.2001;66,05;19,12
30.07.2001;65,65;19,27
31.07.2001;66,01;19,01
01.08.2001;66,8;19,65
02.08.2001;67,21;19,89
03.08.2001;67,3;19,04
06.08.2001;66,53;19,33
07.08.2001;66,04;19,26
08.08.2001;66,51;18,96
09.08.2001;64,98;19,04
10.08.2001;64,77;19,1
13.08.2001;65,24;19,2
14.08.2001;65,75;18,76
15.08.2001;64,71;18,27
16.08.2001;62,84;18
17.08.2001;63,78;18,14
20.08.2001;61,66;18,14
21.08.2001;62,7;17,94
22.08.2001;61,13;18,2
23.08.2001;60,67;18
24.08.2001;59,6;18,6
27.08.2001;61,9;18,9
28.08.2001;62,34;18,44
29.08.2001;61,05;17,74
30.08.2001;59,04;17,73
31.08.2001;56,85;18,5
04.09.2001;57,19;18,24
05.09.2001;56,18;18,4
06.09.2001;56,56;17,5
07.09.2001;56,11;17
10.09.2001;54,92;16
17.09.2001;54,02;16,9
18.09.2001;53,41;16,5
19.09.2001;54,46;16,29
20.09.2001;52,35;14,8
21.09.2001;47,92;16,11
24.09.2001;50,65;16,14
25.09.2001;52,27;15,81
26.09.2001;51,51;15,25
27.09.2001;50,1;15,71
28.09.2001;49,62;15,49
01.10.2001;50,94;15,43
02.10.2001;51,63;14,95
03.10.2001;52,48;15,35
04.10.2001;56,92;15,4
05.10.2001;56,16;15,57
08.10.2001;56,8;16,05
09.10.2001;57,5;16,1
10.10.2001;53,6;16,92
11.10.2001;55,76;17,31
12.10.2001;55,7;17,95
15.10.2001;55,9;18,09
16.10.2001;57,87;18,34
17.10.2001;59,12;17,29
18.10.2001;56,34;17,94
19.10.2001;57,4;18,21
22.10.2001;57,9;19,12
23.10.2001;60,47;18,06
24.10.2001;60,5;18,44
25.10.2001;60,61;18,86
26.10.2001;62,32;18,57
29.10.2001;62,1;17,38
30.10.2001;58,92;17,73
31.10.2001;59,3;17,65
01.11.2001;60,08;18,52
02.11.2001;61,93;18,84
05.11.2001;61,86;18,96
06.11.2001;62,7;19,46
07.11.2001;64,22;19,63
08.11.2001;64,46;18,6
09.11.2001;64,34;18,66
12.11.2001;64,7;19,08
13.11.2001;66,8;19,59
14.11.2001;68,23;19,45
15.11.2001;66,1;19,27
16.11.2001;66,36;19
19.11.2001;66,25;19,82
20.11.2001;66,45;19,61
21.11.2001;64,36;19,71
23.11.2001;64,38;19,94
26.11.2001;64,99;21,2
27.11.2001;64,79;20,85
28.11.2001;63,17;20,6
29.11.2001;63,12;20,47
30.11.2001;64,66;21,06
03.12.2001;63,83;21,05
04.12.2001;65;22,36
05.12.2001;66,49;23,48
06.12.2001;67,98;22,46
07.12.2001;68,25;22,29
10.12.2001;67,52;22,67
11.12.2001;67,66;21,87
12.12.2001;67,16;21,49
13.12.2001;67,13;20,73
14.12.2001;66,02;20,4
17.12.2001;67,17;20,89
18.12.2001;68,92;20,58
19.12.2001;68,62;21,4
20.12.2001;69,15;21,01
21.12.2001;68,01;20,9
24.12.2001;67,72;21,35
26.12.2001;67,42;21,58
27.12.2001;67,98;21,97
28.12.2001;68,23;22,51
31.12.2001;67,84;22,05
02.01.2002;66,65;23,75
03.01.2002;67,11;23,34
04.01.2002;69,25;23,72
07.01.2002;69,75;22,75
08.01.2002;68,69;22,8
09.01.2002;69,72;21,22
10.01.2002;68,48;21,39
11.01.2002;69,52;21,01
14.01.2002;68,3;21,32
15.01.2002;68,66;21,41
16.01.2002;68,85;21,97
17.01.2002;68,53;22
18.01.2002;67,1;22,27
22.01.2002;66,61;23,04
23.01.2002;64,05;22,91
24.01.2002;64,1;22,89
25.01.2002;64,19;23,4
28.01.2002;64,23;23,22
29.01.2002;63,9;23,07
30.01.2002;62,45;24,16
31.01.2002;63,06;24,96
01.02.2002;64,15;24,32
04.02.2002;62,4;25,09
05.02.2002;60,8;25,61
06.02.2002;61,61;24,65
07.02.2002;60,3;24,41
08.02.2002;60,12;23,93
11.02.2002;60,01;24,66
12.02.2002;60,49;24,73
13.02.2002;60,26;25,05
14.02.2002;62;24,98
15.02.2002;61,7;23,76
19.02.2002;59,91;23,2
20.02.2002;59,4;22,92
21.02.2002;59,72;21,66
22.02.2002;58,05;22,85
25.02.2002;57,94;23,91
26.02.2002;59,1;23,94
27.02.2002;59,07;22,15
28.02.2002;58,78;21,93
01.03.2002;59,05;23,26
04.03.2002;61,24;24,15
05.03.2002;63;23,48
06.03.2002;62,91;24,06
07.03.2002;63,67;24,74
08.03.2002;63,63;24,6
11.03.2002;63,51;24,74
12.03.2002;62,52;24,37
13.03.2002;62,08;24,6
14.03.2002;62,14;24,46
15.03.2002;61;24,95
18.03.2002;62,74;24,69
19.03.2002;62,18;24,66
20.03.2002;61,4;24,3
21.03.2002;60,21;24,22
22.03.2002;61,05;24,07
25.03.2002;60,48;23,2
26.03.2002;59,1;23,35
27.03.2002;58,8;23,7
28.03.2002;59,95;24,7
01.04.2002;59,83;24
02.04.2002;58,9;24,05
03.04.2002;57,44;23,67
04.04.2002;55,98;24,95
05.04.2002;56,89;24,16
08.04.2002;54,3;24,59
09.04.2002;57,33;24,21
10.04.2002;55,12;25,03
11.04.2002;55,89;25,01
12.04.2002;55,15;25,06
15.04.2002;56;25,15
16.04.2002;56,4;25,93
17.04.2002;57,95;25,5
18.04.2002;56,79;25,49
19.04.2002;57,44;24,84
22.04.2002;56,52;24,54
23.04.2002;55,7;24,3
24.04.2002;53,85;23,56
25.04.2002;52,9;24,28
26.04.2002;54,07;23,16
29.04.2002;51,47;23,89
30.04.2002;52,1;24,29
01.05.2002;52,16;23,81
02.05.2002;52,64;23,57
03.05.2002;51,26;23,35
06.05.2002;49,44;22,94
07.05.2002;49,18;23,2
08.05.2002;51,27;24,25
09.05.2002;54,4;24,29
10.05.2002;52,53;23,52
13.05.2002;50,45;24,45
14.05.2002;54,4;25,37
15.05.2002;54,49;25,06
16.05.2002;54,71;25,49
17.05.2002;56,21;24,57
20.05.2002;55,5;24,83
21.05.2002;53,95;23,37
22.05.2002;51,87;24,45
23.05.2002;53,7;24,99
24.05.2002;54,14;23,69
28.05.2002;53,59;23,92
29.05.2002;51,65;23,77
30.05.2002;51,64;24,09
31.05.2002;52,9;23,39
03.06.2002;50,99;22,88
04.06.2002;49,5;22,83
05.06.2002;50,43;22,96
06.06.2002;51,5;21,76
07.06.2002;49,89;21,48
10.06.2002;51,65;21,64
11.06.2002;53,24;20,41
12.06.2002;52,58;20,02
13.06.2002;54,84;19,24
14.06.2002;53,15;20,24
17.06.2002;55,66;20,42
18.06.2002;55,53;17,37
19.06.2002;55,47;17,17
20.06.2002;54,37;16,97
21.06.2002;53,4;16,77
24.06.2002;52,09;17,4
25.06.2002;54,7;16,8
26.06.2002;51,05;16,79
27.06.2002;54,6;17,1
28.06.2002;54,55;17,71
01.07.2002;54,12;17,03
02.07.2002;52,38;16,81
03.07.2002;51,24;17,71
05.07.2002;53,09;18,52
08.07.2002;54,41;18,09
09.07.2002;53,31;17,71
10.07.2002;53,69;17,26
11.07.2002;52,04;18,55
12.07.2002;53,37;17,43
15.07.2002;51,39;18,15
16.07.2002;51,31;16,13
17.07.2002;52,52;15,5
18.07.2002;52,06;14,7
19.07.2002;49,87;14,75
22.07.2002;48,95;14,9
23.07.2002;46,49;14,33
24.07.2002;41,75;14,93
25.07.2002;45,45;14,46
26.07.2002;43,74;14,48
29.07.2002;46,85;14,85
30.07.2002;47,55;15,4
31.07.2002;47,61;15,11
01.08.2002;47,58;14,74
02.08.2002;45,51;14,51
05.08.2002;44,29;14,21
06.08.2002;44,9;15,09
07.08.2002;47;14,77
08.08.2002;47,11;15,25
09.08.2002;48,15;14,9
12.08.2002;47,61;14,9
13.08.2002;47,99;14,67
14.08.2002;47,25;15,25
15.08.2002;49,96;15,45
16.08.2002;49,43;15,78
19.08.2002;50,04;15,97
20.08.2002;51,38;16,01
21.08.2002;51,56;16,2
22.08.2002;52,85;15,9
23.08.2002;52,66;15,95
26.08.2002;52,5;15,71
27.08.2002;52,33;14,8
28.08.2002;50,48;14,65
29.08.2002;48,89;14,73
30.08.2002;50,14;14,49
03.09.2002;48,52;14,2
04.09.2002;47,45;14,22
05.09.2002;47,5;14,51
06.09.2002;47,75;14,28
09.09.2002;47,25;14,41
10.09.2002;48,54;14,34
11.09.2002;50,23;14,2
12.09.2002;48,15;14,13
13.09.2002;46,9;14,14
16.09.2002;47,6;14,57
17.09.2002;48,67;14,69
18.09.2002;46,72;14,75
19.09.2002;46,68;14,62
20.09.2002;47,71;14,76
23.09.2002;46,6;14,4
24.09.2002;44,83;14,69
25.09.2002;46,4;15,1
26.09.2002;47,11;14,49
27.09.2002;46,04;14,4
30.09.2002;44,87;14,59
01.10.2002;44,32;14,33
02.10.2002;46,1;14,18
03.10.2002;45,3;14,36
04.10.2002;45,39;13,97
07.10.2002;43,81;13,9
08.10.2002;44,75;13,54
09.10.2002;44,23;13,63
10.10.2002;44;14,25
11.10.2002;47,36;14,55
14.10.2002;48,25;15,22
15.10.2002;51,26;14,86
16.10.2002;50,39;14,21
17.10.2002;52,28;14
18.10.2002;52,6;14,26
21.10.2002;51,97;14,47
22.10.2002;51,43;14,63
23.10.2002;51,43;15,02
24.10.2002;53,36;14,69
25.10.2002;51,25;15,55
28.10.2002;53,4;15,57
29.10.2002;52,15;15,55
30.10.2002;52,2;15,99
31.10.2002;53,19;15,94
01.11.2002;52,43;16,5
04.11.2002;56,75;16,75
05.11.2002;55,78;17,08
06.11.2002;56,99;16,94
07.11.2002;56,2;16,01
08.11.2002;56;15,75
11.11.2002;55,07;15,32
12.11.2002;54,1;15,5
13.11.2002;54,24;15,9
14.11.2002;55,99;16,23
15.11.2002;56,6;16,19
18.11.2002;56,95;15,55
19.11.2002;55,55;15,3
20.11.2002;55,01;15,9
21.11.2002;56,98;16,09
22.11.2002;57,45;16,03
25.11.2002;58,06;15,85
26.11.2002;57,64;15,6
27.11.2002;57,6;15,79
29.11.2002;58,43;15,9
02.12.2002;58,65;15,2
03.12.2002;57,28;15,18
04.12.2002;56,13;15,03
05.12.2002;56,95;14,65
06.12.2002;54,87;14,94
09.12.2002;55;14,75
10.12.2002;53,56;15,3
11.12.2002;53,85;15,51
12.12.2002;55;15,14
13.12.2002;53,68;14,81
16.12.2002;53;14,85
17.12.2002;54,42;14,8
18.12.2002;53,84;14,53
19.12.2002;53,25;14,29
20.12.2002;53,49;14,16
23.12.2002;53,05;14,44
24.12.2002;53,54;14,42
26.12.2002;54,03;14,31
27.12.2002;53,28;14,08
